,",",.,?,!,:,;,-,–,',"""",,",",.,?,!,:,;,-,–,',""""
"Huysmans, J.-K. (Joris-Karl)",37289,15571,1239,1170,542,4066,4257,0,2311,9974,"Huysmans, J.-K. (Joris-Karl)",2009,696,42,108,56,268,685,0,1094,0
"Cartier, Jacques",0,0,0,0,0,0,0,0,0,0,"Cartier, Jacques",5044,2324,0,5,310,305,1205,0,2207,9
"Lenclos, Ninon de",6378,3060,427,121,180,478,432,0,399,607,"Lenclos, Ninon de",0,0,0,0,0,0,0,0,0,0
"Du Maurier, George",27402,13251,1115,4924,898,3802,16754,0,5689,7345,"Du Maurier, George",0,0,0,0,0,0,0,0,0,0
"Tyson, Edward",3588,2321,17,2,420,389,276,0,345,232,"Tyson, Edward",0,0,0,0,0,0,0,0,0,0
"Baden-Powell, B. H. (Baden Henry)",4289,2229,94,18,224,450,1047,0,127,1039,"Baden-Powell, B. H. (Baden Henry)",0,0,0,0,0,0,0,0,0,0
"Tesla, Nikola",2667,1464,23,4,72,130,492,0,46,44,"Tesla, Nikola",0,0,0,0,0,0,0,0,0,0
"Coleridge, Stephen",3397,1573,59,125,168,538,753,0,276,589,"Coleridge, Stephen",0,0,0,0,0,0,0,0,0,0
"Allais, Alphonse",0,0,0,0,0,0,0,0,0,0,"Allais, Alphonse",14480,11030,1296,2454,943,280,8406,0,9979,10
"Barbey d'Aurevilly, J. (Jules)",0,0,0,0,0,0,0,0,0,0,"Barbey d'Aurevilly, J. (Jules)",24710,10961,815,2441,576,1008,8760,0,17804,114
"Chamberlain, George Agnew",5409,5973,631,299,109,232,1596,0,2056,4361,"Chamberlain, George Agnew",0,0,0,0,0,0,0,0,0,0
"Abelard, Peter",2153,988,39,12,85,101,114,0,99,291,"Abelard, Peter",0,0,0,0,0,0,0,0,0,0
"Gautier, Théophile",44182,16762,1245,1785,706,5021,9051,0,2092,3045,"Gautier, Théophile",58714,21310,1496,3316,2481,8761,13727,0,35723,17
"Faraday, Michael",24341,16028,139,37,530,2510,8813,0,247,146,"Faraday, Michael",0,0,0,0,0,0,0,0,0,0
"Helvetius, Johann Friedrich",2153,443,27,9,80,204,57,0,9,2,"Helvetius, Johann Friedrich",0,0,0,0,0,0,0,0,0,0
"Vallès, Jules",0,0,0,0,0,0,0,0,0,0,"Vallès, Jules",13891,13119,1224,4106,858,1468,7100,0,13426,16
"Huygens, Christiaan",2794,1078,6,0,68,305,96,0,8,12,"Huygens, Christiaan",0,0,0,0,0,0,0,0,0,0
"La Bruyère, Jean de",14270,5967,434,140,198,2906,938,0,0,0,"La Bruyère, Jean de",11914,3296,659,205,1376,2465,1622,0,10869,0
"Kobbé, Gustav",34008,18897,341,791,779,1590,5538,0,4242,9634,"Kobbé, Gustav",0,0,0,0,0,0,0,0,0,0
"Pirandello, Luigi",4781,7822,1061,2114,291,312,1124,0,1694,297,"Pirandello, Luigi",0,0,0,0,0,0,0,0,0,0
"Mendelssohn-Bartholdy, Felix",28457,13858,492,588,534,4283,4275,0,459,744,"Mendelssohn-Bartholdy, Felix",0,0,0,0,0,0,0,0,0,0
"Michelet, Jules",41072,18824,1387,1344,1014,3539,6743,0,1288,2567,"Michelet, Jules",315711,221203,7290,6042,17067,22295,50705,0,181002,36
"Viollet-le-Duc, Eugène-Emmanuel",7563,4349,91,79,271,965,1427,0,454,615,"Viollet-le-Duc, Eugène-Emmanuel",142899,78504,1123,448,9337,16798,28916,0,96762,14
"Fitzgerald, Robert",3258,1979,224,426,22,245,1257,0,1473,884,"Fitzgerald, Robert",0,0,0,0,0,0,0,0,0,0
"D'Annunzio, Gabriele",6787,4474,566,478,72,440,3207,0,3323,182,"D'Annunzio, Gabriele",0,0,0,0,0,0,0,0,0,0
"Talleyrand-Périgord, Charles Maurice de, prince de Bénévent",0,0,0,0,0,0,0,0,0,0,"Talleyrand-Périgord, Charles Maurice de, prince de Bénévent",70092,43652,823,286,2499,6470,15350,0,57717,0
"Itard, Jean Marc Gaspard",0,0,0,0,0,0,0,0,0,0,"Itard, Jean Marc Gaspard",1512,577,11,10,43,167,226,0,1343,0
"Régnier, Henri de",0,0,0,0,0,0,0,0,0,0,"Régnier, Henri de",1562,612,30,76,74,219,105,0,1297,0
"Montesquieu, Charles de Secondat, baron de",0,0,0,0,0,0,0,0,0,0,"Montesquieu, Charles de Secondat, baron de",18022,14469,557,286,2333,3396,2430,0,15848,0
"Gounod, Charles",3975,2123,130,282,28,246,799,0,384,786,"Gounod, Charles",4265,1881,124,330,318,461,946,0,3650,0
"Whistler, James McNeill",4333,3604,220,340,355,228,2348,0,763,1991,"Whistler, James McNeill",0,0,0,0,0,0,0,0,0,0
"Robespierre, Maximilien",0,0,0,0,0,0,0,0,0,0,"Robespierre, Maximilien",20325,9450,1683,799,1327,4228,3715,0,18472,426
"Hamilton, Francis",14829,7872,6,0,64,880,515,6,0,0,"Hamilton, Francis",0,0,0,0,0,0,0,0,0,0
"Lovecraft, H. P. (Howard Phillips)",8370,6893,80,145,295,873,1633,0,2186,2935,"Lovecraft, H. P. (Howard Phillips)",0,0,0,0,0,0,0,0,0,0
"Massenet, Jules",3134,3039,90,243,109,139,691,0,329,611,"Massenet, Jules",7017,3697,155,684,309,247,1280,0,4939,0
"Fleming, J. A. (John Ambrose), Sir",3502,2269,0,0,54,208,520,0,153,142,"Fleming, J. A. (John Ambrose), Sir",0,0,0,0,0,0,0,0,0,0
"Douce, Francis",24419,21019,271,97,806,1997,2964,0,3040,3904,"Douce, Francis",0,0,0,0,0,0,0,0,0,0
"Sévigné, Madame de",0,0,0,0,0,0,0,0,0,0,"Sévigné, Madame de",19671,11838,731,817,3667,6615,4013,0,18349,0
"Napoleon III, Emperor of the French",35259,21842,206,85,952,3134,16912,0,640,2156,"Napoleon III, Emperor of the French",0,0,0,0,0,0,0,0,0,0
"Chateaubriand, René",0,0,0,0,0,0,0,0,0,0,"Chateaubriand, René",13048,8243,408,407,2212,2057,3753,0,10225,0
"Montagu, Edward Wortley",7043,4259,36,28,180,457,209,0,76,156,"Montagu, Edward Wortley",0,0,0,0,0,0,0,0,0,0
"Claudel, Paul",0,0,0,0,0,0,0,0,0,0,"Claudel, Paul",4291,6434,1064,1033,68,51,7081,0,4695,0
"Walters, H. B.",44306,54559,150,48,6860,8084,12082,748,152,415,"Walters, H. B.",0,0,0,0,0,0,0,0,0,0
"Voltaire, Francois-Marie de",0,0,0,0,0,0,0,0,0,0,"Voltaire, Francois-Marie de",4625,2695,102,5,350,681,1461,0,3676,0
