"",",",".","?","!",":",";","-","–","'",""""
"Shakespeare (spurious and doubtful works)",0,0,0,0,0,0,0,0,0,0
"Dumas, Alexandre",522106,271871,42670,49818,21523,58216,276532,0,281228,1161
"Johnston, Mary",0,0,0,0,0,0,0,0,0,0
"Stephenson, Nathaniel W. (Nathaniel Wright)",0,0,0,0,0,0,0,0,0,0
"Burgess, Thornton W. (Thornton Waldo)",0,0,0,0,0,0,0,0,0,0
"Daudet, Alphonse",74593,61868,3101,6979,4478,4175,17543,0,46940,6564
"Fabre, Jean-Henri",15936,7663,494,224,560,1760,1958,0,13282,0
"Reeve, Arthur B. (Arthur Benjamin)",0,0,0,0,0,0,0,0,0,0
"Cooper, Susan Fenimore",0,0,0,0,0,0,0,0,0,0
"Sheridan, Richard Brinsley",0,0,0,0,0,0,0,0,0,0
"France, Anatole",111443,81740,3158,3448,8311,6074,30737,0,81669,1371
"Racine, Jean",1437,803,243,150,64,126,283,0,1059,4
"Huxley, Aldous",0,0,0,0,0,0,0,0,0,0
"Wodehouse, P. G. (Pelham Grenville)",0,0,0,0,0,0,0,0,0,0
"Sands, George W.",0,0,0,0,0,0,0,0,0,0
"Molière",33967,32228,3738,4712,1848,5018,18108,0,24987,755
"Adams, Henry",0,0,0,0,0,0,0,0,0,0
"Adams, Samuel",0,0,0,0,0,0,0,0,0,0
"Saint-Pierre, Bernardin de",0,0,0,0,0,0,0,0,0,0
"Sand, George",413605,243856,25416,36394,14391,47229,138019,0,358041,6599
"Loti, Pierre",99429,45989,1424,3795,3314,10353,21250,0,51966,1154
"Voltaire",13091,7607,751,568,979,2330,2264,0,10047,73
"Mérimée, Prosper",9560,7869,521,534,347,903,3292,0,8313,4
"Keats, John",5059,5296,280,602,500,811,1500,0,3195,0
"Hesse, Hermann",0,0,0,0,0,0,0,0,0,0
"Wallace, Alfred Russel",0,0,0,0,0,0,0,0,0,0
"Corneille, Pierre",81603,76179,5758,3803,9407,13414,17223,0,74994,2
"Taine, Hippolyte",64602,33193,1605,1798,4103,9232,19426,0,37267,258
"Proust, Marcel",67836,26358,1456,1900,2429,2762,17833,0,48827,2210
"Wallace, Edgar",0,0,0,0,0,0,0,0,0,0
"Joyce, James",0,0,0,0,0,0,0,0,0,0
"Casanova, Giacomo",0,0,0,0,0,0,0,0,0,0
"Frost, Robert",0,0,0,0,0,0,0,0,0,0
"Burroughs, John",0,0,0,0,0,0,0,0,0,0
"Hobbes, Thomas",0,0,0,0,0,0,0,0,0,0
"Montaigne, Michel de",59139,17130,1639,395,6590,6319,10466,0,42399,2
"Ives, Charles",0,0,0,0,0,0,0,0,0,0
"Liszt, Franz",6754,2133,153,406,152,469,834,0,4936,0
"Rousseau, Jean-Jacques",0,0,0,0,0,0,0,0,0,0
"Disraeli, Benjamin, Earl of Beaconsfield",0,0,0,0,0,0,0,0,0,0
"Wagner, Richard",23753,10514,1485,3406,3411,1756,10054,0,14241,0
"Saint-Simon, Louis de Rouvroy, duc de",0,0,0,0,0,0,0,0,0,0
"Musset, Alfred de",32857,31251,5458,4873,1029,5977,12377,0,26753,219
"Vigny, Alfred de",22390,11432,1242,2313,1471,3818,9799,0,17656,670
"Halévy, Ludovic",0,0,0,0,0,0,0,0,0,0
"Leblanc, Maurice",5052,4866,652,500,364,17,3815,0,4133,2
"Mozart, Wolfgang Amadeus",0,0,0,0,0,0,0,0,0,0
"Malthus, T. R. (Thomas Robert)",0,0,0,0,0,0,0,0,0,0
"Bergson, Henri",0,0,0,0,0,0,0,0,0,0
"Renard, Jules",10729,8610,855,1350,1083,270,5180,0,7328,35
"Munro, William Bennett",0,0,0,0,0,0,0,0,0,0
"Verlaine, Paul",4962,2231,237,796,165,153,982,0,3217,4
"Littré, Emile",1691,889,51,7,72,294,366,0,1479,2
"Churchill, Winston",0,0,0,0,0,0,0,0,0,0
"Jefferson, Thomas",0,0,0,0,0,0,0,0,0,0
"Monroe, James",0,0,0,0,0,0,0,0,0,0
"Jackson, Andrew",0,0,0,0,0,0,0,0,0,0
"Hayes, Rutherford Birchard",0,0,0,0,0,0,0,0,0,0
"Arthur, Chester Alan",0,0,0,0,0,0,0,0,0,0
"Cleveland, Grover",0,0,0,0,0,0,0,0,0,0
"McKinley, William",0,0,0,0,0,0,0,0,0,0
"Coolidge, Calvin",0,0,0,0,0,0,0,0,0,0
"Hoover, Herbert",0,0,0,0,0,0,0,0,0,0
"Truman, Harry S.",0,0,0,0,0,0,0,0,0,0
"Eisenhower, Dwight D. (Dwight David)",0,0,0,0,0,0,0,0,0,0
"Kennedy, John F. (John Fitzgerald)",0,0,0,0,0,0,0,0,0,0
"Johnson, Lyndon B. (Lyndon Baines)",0,0,0,0,0,0,0,0,0,0
"Nixon, Richard M. (Richard Milhous)",0,0,0,0,0,0,0,0,0,0
"Carter, Jimmy",0,0,0,0,0,0,0,0,0,0
"Reagan, Ronald",0,0,0,0,0,0,0,0,0,0
"Bush, George",0,0,0,0,0,0,0,0,0,0
"Bush, George W. (George Walker)",0,0,0,0,0,0,0,0,0,0
"Wilson, Woodrow",0,0,0,0,0,0,0,0,0,0
"Boileau Despréaux, Nicolas",1095,346,42,50,137,142,103,0,666,2
"Yeats, W. B. (William Butler)",0,0,0,0,0,0,0,0,0,0
"Train, Arthur Cheney",0,0,0,0,0,0,0,0,0,0
"La Fontaine, Jean de",928,508,73,38,171,163,191,0,905,0
"Kandinsky, Wassily",0,0,0,0,0,0,0,0,0,0
"Cherubini, Eugenio",0,0,0,0,0,0,0,0,0,0
"Brillat-Savarin",8961,4653,126,198,640,1893,1653,0,7471,0
"Darwin, Francis, Sir",0,0,0,0,0,0,0,0,0,0
"Russell, George William",0,0,0,0,0,0,0,0,0,0
"Alain-Fournier",5814,4805,200,300,334,276,2185,0,3876,0
"Sylvester, Charles Herbert",0,0,0,0,0,0,0,0,0,0
"Spencer, Herbert",7146,3068,148,6,257,548,937,0,6632,0
"Baudelaire, Charles",4222,1679,166,602,163,409,1488,0,2619,37
"Colette",12296,9867,1022,1190,746,219,4598,0,7074,1377
"Diderot, Denis",44103,33153,4085,2849,3451,11748,17307,0,41987,2
"Gide, André",7289,6047,655,924,820,1658,5116,0,6805,160
"Moore, Thomas",0,0,0,0,0,0,0,0,0,0
"Lafayette, Marie Joseph Paul Yves Roch Gilbert Du Motier, marquis de",0,0,0,0,0,0,0,0,0,0
"Darwin, Erasmus",0,0,0,0,0,0,0,0,0,0
"Clinton, Bill",0,0,0,0,0,0,0,0,0,0
"Schopenhauer, Arthur",6733,2491,47,58,527,981,1042,0,5683,0
"Champollion, Jean-François",7551,3092,20,43,439,1222,1505,0,5200,190
"Maspero, G. (Gaston)",6908,4199,13,3,580,501,1301,0,4730,8
"Huysmans, J.-K. (Joris-Karl)",2009,696,42,108,56,268,685,0,1094,0
"Cartier, Jacques",5044,2324,0,5,310,305,1205,0,2207,9
"Lenclos, Ninon de",0,0,0,0,0,0,0,0,0,0
"Du Maurier, George",0,0,0,0,0,0,0,0,0,0
"Tyson, Edward",0,0,0,0,0,0,0,0,0,0
"Baden-Powell, B. H. (Baden Henry)",0,0,0,0,0,0,0,0,0,0
"NA",0,0,0,0,0,0,0,0,0,0
"Coleridge, Stephen",0,0,0,0,0,0,0,0,0,0
"Allais, Alphonse",14480,11030,1296,2454,943,280,8406,0,9979,10
"Barbey d'Aurevilly, J. (Jules)",24710,10961,815,2441,576,1008,8760,0,17804,114
"Chamberlain, George Agnew",0,0,0,0,0,0,0,0,0,0
"Abelard, Peter",0,0,0,0,0,0,0,0,0,0
"Gautier, Théophile",58714,21310,1496,3316,2481,8761,13727,0,35723,17
"Faraday, Michael",0,0,0,0,0,0,0,0,0,0
"Helvetius, Johann Friedrich",0,0,0,0,0,0,0,0,0,0
"Vallès, Jules",13891,13119,1224,4106,858,1468,7100,0,13426,16
"Huygens, Christiaan",0,0,0,0,0,0,0,0,0,0
"La Bruyère, Jean de",11914,3296,659,205,1376,2465,1622,0,10869,0
"Kobbé, Gustav",0,0,0,0,0,0,0,0,0,0
"Pirandello, Luigi",0,0,0,0,0,0,0,0,0,0
"Mendelssohn-Bartholdy, Felix",0,0,0,0,0,0,0,0,0,0
"Michelet, Jules",315711,221203,7290,6042,17067,22295,50705,0,181002,36
"Viollet-le-Duc, Eugène-Emmanuel",142899,78504,1123,448,9337,16798,28916,0,96762,14
"Fitzgerald, Robert",0,0,0,0,0,0,0,0,0,0
"D'Annunzio, Gabriele",0,0,0,0,0,0,0,0,0,0
